Caltrans District ID Number,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,South or Westbound Peak Hour,South or Westbound Peak Month,South or Westbound Annual Average Daily Traffic (AADT),North or Eastbound Peak Hour,North or Eastbound Peak Month,North or Eastbound Annual Average Daily Traffic (AADT),Location
1,101,,Mendocino,R,84.687,,"JCT. RTE. 271, CUMMINGS ROAD ",790,7600,6200,790,7600,6200,"(39.83469988, -123.6315828)"
1,101,,Humboldt,,85.03,,"ARCATA, G STREET ",4200,40500,38000,4200,40500,38000,"(40.85116111, -124.081783)"
1,101,,Humboldt,,85.83,,"ARCATA, JCT. RTE. 255 SOUTH",4200,40500,38000,4150,40500,38000,"(40.862666, -124.082647)"
1,101,,Humboldt,,86.501,,"ARCATA, 14TH STREET",4150,40500,38000,3800,37000,35000,"(40.872347, -124.082238)"
1,101,,Humboldt,,86.942,,"ARCATA, SUNSET AVENUE",3800,37000,35000,4550,47000,43500,"(40.87871663, -124.0821391)"
1,101,,Humboldt,,88.272,,"ARCATA, JCT. RTE. 299 EAST",4550,47000,43500,3550,37500,33500,"(40.8972961, -124.0832058)"
1,101,,Humboldt,,88.803,,"ARCATA, GUINTOLI LANE",3550,37500,33500,3800,38500,34500,"(40.90447833, -124.0867912)"
1,101,,Mendocino,R,89.565,,SCANDIA ROAD,780,7400,6100,780,7400,6100,"(39.84857309, -123.7075969)"
1,101,,Humboldt,R,90.134,,JCT. RTE. 200 EAST,3800,38500,34500,2200,22900,19300,"(40.92109726, -124.098612)"
1,101,,Mendocino,T,91.245,,"LEGGETT, JCT. RTE. 1",780,7400,6100,780,7400,6100,"(39.86814697, -123.7135634)"
1,101,,Humboldt,R,91.473,,"MC KINLEYVILLE, SCHOOL ROAD",2200,22900,19300,1850,19900,16800,"(40.93432583, -124.1148672)"
1,101,,Humboldt,R,93,,"MC KINLEYVILLE, MURRAY ROAD",1850,19900,16800,1400,16000,13600,"(40.95632806, -124.1159745)"
1,101,,Humboldt,R,93.852,,"MC KINLEYVILLE, AIRPORT ROAD ",1400,16000,13600,1250,13300,11400,"(40.96867301, -124.1158421)"
1,101,,Humboldt,R,95.62,,NORTH CENTRAL AVENUE ,1250,13300,11400,1200,12900,11100,"(40.99385636, -124.1133958)"
1,101,,Humboldt,R,97.02,,CRANNELL ROAD,1200,12900,11100,1200,12700,11000,"(41.013536, -124.107866)"
1,101,,Humboldt,,98.067,,WESTHAVEN DRIVE,1200,12700,11000,1050,11800,9000,"(41.03204839, -124.1100386)"
1,101,,Humboldt,,98.355,,SIXTH STREET ,1050,11800,9000,1150,12200,9300,"(41.03582143, -124.1122358)"
1,101,,Humboldt,,100.705,,TRINIDAD ROAD ,1150,12200,9300,670,6600,5000,"(41.06206944, -124.139012)"
1,101,,Mendocino,R,101.895,,"JCT. RTE. 271 NORTH, REYNOLDS",780,7400,6100,780,7400,6100,"(39.94421824, -123.7793213)"
1,101,,Humboldt,R,103.378,,SEAWOOD DRIVE,670,6600,5000,630,6400,4800,"(41.09848178, -124.1532519)"
1,101,,Mendocino,R,103.818,,JCT. RTE. 271,780,7400,6100,710,5600,4600,"(39.96599733, -123.7950463)"
1,101,,Humboldt,R,106.069,,PATRICKS POINT,650,6400,4800,550,5700,4300,"(41.13609365, -124.1467186)"
1,101,,Mendocino,T,106.801,,MENDOCINO/HUMBOLDT COUNTY,710,5600,4600,,,,"(40.00178353, -123.7832848)"
1,101,,Humboldt,,108.22,,BIG LAGOON PARK ROAD,550,5700,4300,560,5600,4200,"(41.15566418, -124.1273728)"
1,101,,Humboldt,,109.55,,GEORGIA PACIFIC ROAD,560,5600,4200,560,5600,4200,"(41.16534185, -124.1059289)"
1,101,,Humboldt,,120.4,,SOUTH LIMITS ORICK,550,5400,4100,520,4800,3850,"(41.28469052, -124.0704046)"
1,101,,Humboldt,,121.61,,NORTH LIMITS ORICK,550,5100,3800,540,5100,3700,"(41.29475576, -124.0553082)"
1,101,,Humboldt,,122.25,,BALD HILLS ROAD,540,5100,3700,540,5100,3700,"(41.30173837, -124.0477595)"
1,101,,Humboldt,,123.73,,REDWOOD MILL ROAD,560,5100,3700,540,4900,3400,"(41.31998229, -124.0396659)"
1,101,,Humboldt,,123.82,,DAVIDSON ROAD (GOLD BEACH),540,4900,3400,390,4400,3100,"(41.321246, -124.039187)"
1,101,,Humboldt,R,126.098,,ENTRANCE TO PRAIRIE CREEK STATE PARK,430,4600,3000,420,4600,2900,"(41.348787, -124.0269142)"
1,101,,Humboldt,R,137.144,,HUMBOLDT/DEL NORTE COUNTY LINE,420,4600,2900,,,,"(41.46469104, -124.0374178)"
1,128,,Mendocino,,0,,JCT. RTE. 1,,,,220,2100,1700,"(39.197497, -123.746604)"
1,128,,Mendocino,,11.67,,FLYNN CREEK ROAD,220,2100,1700,270,2500,2000,"(39.1611209, -123.5827558)"
1,128,,Mendocino,,22.59,,WEST LIMITS PHILO,630,5700,4600,550,5100,4100,"(39.0673373, -123.4470947)"
1,128,,Mendocino,R,26.84,,CON CREEK,520,4800,4200,540,5100,4400,"(39.03127775, -123.3871873)"
1,128,,Mendocino,R,28.09,,BOONVILLE STATE HIGHWAY MAINTENANCE STA,610,5300,4600,860,6900,5300,"(39.01689188, -123.3736655)"
1,128,,Mendocino,,28.4,,MOUNTAIN VIEW ROAD,840,7600,5900,840,6200,4600,"(39.012406, -123.372159)"
1,128,,Mendocino,,29.576,,JCT. RTE. 253 EAST,730,5400,4300,250,2500,2000,"(38.99913546, -123.3583828)"
1,128,,Mendocino,,41.13,,"YORKVILLE, WEST CITY LIMITS",180,2000,1500,180,2000,1550,"(38.90012688, -123.2202009)"
1,128,,Mendocino,,50.902,,MENDOCINO/SONOMA COUNTY LINE,180,1950,1550,,,,"(38.85221745, -123.0773299)"
1,162,,Mendocino,R,0,,JCT. RTE. 101,,,,90,1050,840,"(39.555176, -123.430258)"
1,162,,Mendocino,,2,,RIVER BAR ROAD,90,1050,850,90,970,840,"(39.56506236, -123.4017014)"
1,162,,Mendocino,,15.307,,COUNTY ROAD 322/ DOS RIOS ROAD,90,970,840,90,980,850,"(39.7114644, -123.3457709)"
1,162,,Mendocino,,26.78,,COUNTY ROAD 327/ POOHKINY ROAD,90,990,860,100,1050,950,"(39.75873822, -123.2483059)"
1,162,,Mendocino,,28.232,,WATTENBURG ROAD,100,1050,950,240,2400,2060,"(39.77995434, -123.2481897)"
1,162,,Mendocino,,29.251,,EAST LANE ROAD,240,2400,2060,290,2900,2500,"(39.794834, -123.2481153)"
1,162,,Mendocino,,30.768,,MINA ROAD,230,2100,1850,80,740,650,"(39.81703023, -123.2462965)"
1,162,,Mendocino,,32.984,,SHORT CREEK ROAD,60,520,450,50,450,400,"(39.81661957, -123.205543)"
1,162,,Mendocino,,34.045,,NEAR SHORT CREEK BRIDGE,50,450,400,,,,"(39.82522852, -123.1904335)"
1,169,,Del Norte,R,0,,"KLAMATH, JCT. RTE. 101",,,,250,2650,1900,"(41.52315212, -124.0341813)"
1,169,,Del Norte,R,0.248,,SIMPSON MILL ROAD ,250,2650,1900,120,1300,930,"(41.5209577, -124.0307161)"
1,169,,Del Norte,,2.89,,ARROW MILLS ROAD,120,1300,930,120,1300,930,"(41.51924382, -123.9917924)"
1,169,,Del Norte,,3.521,,"KLAMATH GLEN, RIFFLE ROAD",150,1300,930,,,,"(41.51157256, -123.9863936)"
1,169,,Humboldt,,13.2,,WAUTECK VILLAGE,,,,40,280,200,"(41.51157256, -123.9863936)"
1,169,,Humboldt,,29.95,,MARTINS FERRY BRIDGE,60,440,320,60,440,320,"(41.21154667, -123.75806)"
1,169,,Humboldt,,33.84,,"WEITCHPEC, JCT. RTE. 96",70,510,370,,,,"(41.18662475, -123.7046503)"
1,175,,Mendocino,,0,,"HOPLAND, JCT. RTE. 101",,,,600,6300,5100,"(38.971242, -123.11659)"
1,175,,Lake,,0,,MENDOCINO/LAKE COUNTY LINE,,,,230,2300,2000,"(38.98905469, -122.9868445)"
1,175,,Mendocino,,0.77,,"EAST SIDE ROAD, RIGHT",600,6300,5100,560,6100,4900,"(38.97246517, -123.1027022)"
1,175,,Mendocino,,1.14,,"EAST SIDE ROAD, LEFT",560,6100,4900,340,4200,3700,"(38.9772405, -123.098546)"
1,175,,Mendocino,,2.79,,YOUNCE ROAD,340,4200,3700,190,1950,1750,"(38.97645145, -123.0704997)"
1,175,,Lake,R,8.193,,JCT. RTE. 29,230,2300,2000,90,900,800,"(39.016902, -122.9129007)"
1,175,,Mendocino,,9.85,,MENDOCINO/LAKE COUNTY LINE,190,1950,1750,,,,"(38.98905469, -122.9868445)"
1,175,,Lake,,19.62,,COBB POST OFFICE,480,4400,4000,350,3300,2900,"(38.82229608, -122.720411)"
1,175,,Lake,,26.54,,DRY CREEK ROAD,440,4100,3600,360,3700,3200,"(38.759242, -122.6409642)"
1,175,,Lake,,28.038,,JCT. RTE. 29,360,3700,3200,,,,"(38.75238642, -122.615238)"
1,197,,Del Norte,R,0,,JCT. RTE. 199,,,,290,2900,2300,"(41.805647, -124.081239)"
1,197,,Del Norte,,7.08,,JCT. RTE. 101,250,2300,1800,,,,"(41.881556, -124.136645)"
1,199,,Del Norte,T,0.506,R,"JCT. RTE. 101, BEGIN RIGHT ALIGN",,,,320,3300,2300,"(41.80236184, -124.1482178)"
1,199,,Del Norte,T,0.506,L,"JCT. RTE. 101, BEGIN LEFT ALIGN",,,,320,3300,2300,"(41.80236184, -124.1482178)"
1,199,,Del Norte,T,0.784,R,END RIGHT ALIGN,320,3300,2300,,,,"(41.80429695, -124.1434879)"
1,199,,Del Norte,T,0.784,L,END LEFT ALIGN ,320,3300,2300,,,,"(41.80429695, -124.1434879)"
1,199,,Del Norte,,4.37,,JCT. RTE. 197 NORTH,630,8100,5400,440,5200,3900,"(41.80571702, -124.0813065)"
1,199,,Del Norte,,5.9,,"HIOUCHI VILLAGE, EAST",610,6000,4300,550,5700,4000,"(41.79225763, -124.0677389)"
1,199,,Del Norte,T,14.636,,"GASQUET, EAST",410,4100,3000,400,4200,2900,"(41.84383083, -123.9636598)"
1,199,,Del Norte,,36.408,,OREGON STATE LINE,400,4200,2900,,,,"(41.99687932, -123.7214307)"
1,200,,Humboldt,R,0,,JCT. RTE. 101,,,,250,2700,2500,"(40.92100392, -124.0985814)"
1,200,,Humboldt,,1.287,,AZALEA AVENUE,250,2700,2500,220,2100,1900,"(40.91602997, -124.0796423)"
1,200,,Humboldt,R,2.681,,JCT. RTE. 299,210,2000,1800,,,,"(40.90890674, -124.0558558)"
1,211,,Humboldt,,73.2,,"FERNDALE, OCEAN AVENUE",,,,630,6500,6300,"(40.5756949, -124.2648586)"
1,211,,Humboldt,R,74.192,,"FERNDALE, VAN NESS AVENUE",630,6500,6300,620,6400,6200,"(40.58799475, -124.2565625)"
1,211,,Humboldt,R,75.782,,SAGE ROAD,550,5700,5500,570,5900,5700,"(40.59785755, -124.2307764)"
1,211,,Humboldt,R,76.688,,GOBLE LN-WADDINGTON RD,570,5900,5700,520,5500,5300,"(40.59945285, -124.2145567)"
1,211,,Humboldt,,79.275,,JCT. RTE. 101,580,5500,5300,,,,"(40.62240988, -124.2113566)"
1,222,,Mendocino,R,0,,"UKIAH, JCT. RTE. 101",,,,760,8400,8100,"(39.13602498, -123.1990257)"
1,222,,Mendocino,,1.56,,SANFORD RANCH ROAD,740,8400,8100,690,5300,5100,"(39.13309292, -123.1771826)"
1,222,,Mendocino,,2.153,,TALMAGE,730,4900,4700,,,,"(39.13316, -123.166109)"
1,253,,Mendocino,,0,,"BOONVILLE, JCT. RTE. 128",,,,230,2400,2300,"(38.999144, -123.35839)"
1,253,,Mendocino,,17.18,,"UKIAH, JCT. RTE. 101",270,3100,2900,,,,"(39.109233, -123.195271)"
1,254,,Humboldt,,0,,JCT. RTE. 101,,,,210,1600,900,"(40.18609349, -123.7712673)"
1,254,,Humboldt,,4.837,,MIRANDA BRIDGE RD,210,1500,880,470,3400,1750,"(40.219112, -123.811747)"
1,254,,Humboldt,,12.327,,JCT. RTE. 101,270,2100,1050,160,1250,700,"(40.2662777, -123.8705984)"
1,254,,Humboldt,,16.84,,BURLINGTON STATE PARK,150,1250,650,160,1250,650,"(40.30934174, -123.9104368)"
1,254,,Humboldt,,18.8,,"WEOTT, NORTH",160,1250,650,150,800,600,"(40.33256854, -123.9299459)"
1,254,,Humboldt,,24.21,,"ENGLEWOOD PARK, DYERVILLE, NORTH",130,600,500,110,600,400,"(40.39641613, -123.9390489)"
1,254,,Humboldt,,46.53,,JCT. RTE. 101,110,600,400,,,,"(40.43903363, -124.03204)"
1,255,,Humboldt,,0,,"EUREKA, JCT. RTE. 101",,,,1050,10200,9700,"(40.80391139, -124.1536146)"
1,255,,Humboldt,,2.028,,NAVY BASE ROAD,900,8600,8200,790,7600,7200,"(40.82588168, -124.1762636)"
1,255,,Humboldt,,3.657,,DEAN/PACIFIC AVENUES,790,7600,7200,780,7500,7100,"(40.84828769, -124.1657124)"
1,255,,Humboldt,,4.728,,YOUNG LANE,780,7500,7100,770,7400,7000,"(40.86211423, -124.1570809)"
1,255,,Humboldt,R,5.13,,MAD RIVER SLOUGH BRIDGE,770,7400,7000,830,7900,7500,"(40.8649892, -124.1505164)"
1,255,,Humboldt,,8.352,,"ARCATA, K STREET",830,7900,7500,930,8900,8600,"(40.8655994, -124.0908607)"
1,255,,Humboldt,,8.525,,"ARCATA, H STREET",930,8900,8600,1050,10500,10200,"(40.86490173, -124.0875723)"
1,255,,Humboldt,,8.584,,"ARCATA, G STREET",1050,10500,10200,1650,15900,15500,"(40.86455289, -124.0864921)"
1,255,,Humboldt,,8.803,,JCT. RTE. 101,1650,15900,15500,,,,"(40.86263639, -124.0827493)"
1,271,,Mendocino,,0,,JCT. RTE. 101,,,,20,130,110,"(39.83499669, -123.6314431)"
1,271,,Mendocino,,3.385,,OLD ROUTE 101 BRIDGE,20,130,110,80,570,470,"(39.83330955, -123.6786352)"
1,271,,Mendocino,,5.601,,"JCT. RTE. 101, SCANDIA",80,570,470,90,980,650,"(39.84850656, -123.7076631)"
1,271,,Mendocino,,5.602,,BREAK IN ROUTE,,,,,,,"(39.848498, -123.707678)"
1,271,,Mendocino,R,17.048,,"JCT. RTE. 101, REYNOLDS",10,110,90,10,110,90,"(39.95626494, -123.7759262)"
1,271,,Mendocino,,19.459,,"JCT. RTE. 101, PIERCY",20,140,120,30,210,180,"(39.96594583, -123.7951483)"
1,271,,Mendocino,,22.721,,MENDOCINO/HUMBOLDT COUNTY LINE,20,170,140,,,,"(40.00178151, -123.7859085)"
1,281,,Lake,,14,,BEGIN STATE HIGHWAY,,,,420,4450,4000,"(38.96675557, -122.7377782)"
1,281,,Lake,,15.06,,POINT LAKEVIEW ROAD,360,3800,3400,600,7000,6300,"(38.95446187, -122.7273671)"
1,281,,Lake,,17,,JCT. RTE. 29,600,7000,6300,,,,"(38.929689, -122.741491)"
1,283,,Humboldt,,0,,"JCT. RTE. 101, NORTH SCOTIA",,,,250,2300,2150,"(40.48827239, -124.0984668)"
1,283,,Humboldt,,0.356,,NORTH END OF EEL RIVER BRIDGE,250,2300,2150,,,,"(40.492806, -124.101205)"
1,299,,Humboldt,,0,,"ARCATA, JCT. RTE. 101",,,,1300,14400,13400,"(40.89725629, -124.0832905)"
1,299,,Humboldt,,0.722,,"ARCATA, GUINTOLI LANE",1300,14400,13400,1400,13400,12200,"(40.90415848, -124.0734612)"
1,299,,Humboldt,R,1.802,,JCT. RTE. 200 WEST,1400,13400,12200,1500,14900,13600,"(40.91000707, -124.0580149)"
1,299,,Humboldt,R,2.92,,ESSEX LANE,1500,14900,13600,1300,13000,11900,"(40.90683216, -124.0376706)"
1,299,,Humboldt,R,4.036,,GLENDALE ,1300,13000,11900,1150,11500,10500,"(40.89819705, -124.0209241)"
1,299,,Humboldt,R,5.451,,BLUE LAKE ROAD,1150,11500,10500,500,5200,3600,"(40.88802804, -123.9978512)"
1,299,,Humboldt,R,6.254,,ELGARS ROAD,500,5200,3600,530,5500,3800,"(40.88765295, -123.9826892)"
1,299,,Humboldt,R,6.666,,BUCKLEY ROAD,530,5500,3800,520,5500,3800,"(40.88741883, -123.9751823)"
1,299,,Humboldt,R,7.139,,OLD HIGHWAY,520,5500,3800,370,5000,3700,"(40.88399119, -123.9674107)"
1,299,,Humboldt,,19.05,,BAIR ROAD,370,5000,3700,460,4900,3500,"(40.92768838, -123.8441838)"
1,299,,Humboldt,,38.833,,"WILLOW CREEK, JCT. RTE. 96 NORTH",460,4900,3500,650,6200,4800,"(40.9393743, -123.6314436)"
1,299,,Humboldt,,38.9,,"WILLOW CREEK, RIVER ROAD",650,6200,4800,650,6400,4900,"(40.93900945, -123.62999)"
1,299,,Humboldt,,41.86,,"GAMBI VILLAGE, EAST",500,5000,3800,450,4900,3700,"(40.90179041, -123.6100811)"
1,299,,Humboldt,,43.035,,HUMBOLT/TRINITY COUNTY LINE,450,4650,3700,,,,"(40.88895979, -123.6010295)"
2,3,,Trinity,L,0,,JCT. RTE. 36,,,,60,500,400,"(40.420029, -123.1746025)"
2,3,,Siskiyou,,0.408,,TRINITY/SISKIYOU COUNTY LINE,,,,40,280,200,"(41.27563451, -122.6976035)"
2,3,,Trinity,,6.22,,MORGAN HILL ROAD,140,1650,1300,260,2400,2200,"(40.54595711, -123.1911561)"
2,3,,Siskiyou,,6.955,,GAZELLE ROAD,40,270,200,60,440,310,"(41.31036788, -122.7690863)"
2,3,,Trinity,,7.2,,HAYFORK,260,2400,2200,260,2400,2200,"(40.55412812, -123.1813859)"
2,3,,Siskiyou,,8.8,,CALLAHAN,60,440,310,70,530,405,"(41.30943854, -122.8014364)"
2,3,,Siskiyou,R,21,,"ETNA, MAIN STREET",130,1550,1350,170,1600,1400,"(41.46129143, -122.8881758)"
2,3,,Siskiyou,R,21.472,,COLLIER WAY,170,1700,1400,250,2700,2200,"(41.46274647, -122.8953112)"
2,3,,Trinity,L,30.89,,"WEAVERVILLE, NORTH JCT. RTE. 299",150,1450,1400,430,4150,3750,"(40.65128512, -122.9393276)"
2,3,,Trinity,,31.94,,COUNTY DUMP ROAD,340,3450,3100,260,2650,2100,"(40.74155983, -122.9246972)"
2,3,,Siskiyou,,32.2,,"FORT JONES, SCOTT RIVER ROAD",290,3150,2700,430,4650,3950,"(41.60149993, -122.8462912)"
2,3,,Trinity,,37.9,,RUSH CREEK ROAD,140,1350,1050,100,1050,1000,"(40.79516838, -122.8904894)"
2,3,,Siskiyou,,38.258,,MOFFETT CREEK ROAD,300,2850,2600,300,2850,2600,"(41.63276895, -122.7527303)"
2,3,,Siskiyou,,44.67,,FOREST MOUNTAIN RANCH,300,2850,2600,300,2850,2600,"(41.67512839, -122.6843624)"
2,3,,Siskiyou,L,47.264,,"YREKA, MOONLIT OAKS AVENUE",1600,15800,14100,1150,7100,5900,"(41.70378179, -122.6449938)"
2,3,,Siskiyou,L,48.164,,"YREKA, OBERLIN ROAD",1150,7100,5900,1000,8300,6300,"(41.71624826, -122.6400241)"
2,3,,Siskiyou,R,48.955,,"YREKA, AGER ROAD",370,3500,3150,260,2650,1250,"(41.74120357, -122.5990228)"
2,3,,Siskiyou,L,49.207,,"YREKA, CENTER STREET",950,9700,8900,920,9600,8700,"(41.73084714, -122.6357646)"
2,3,,Siskiyou,R,49.454,,"YREKA, PHILIPE LANE",260,2650,1250,230,2600,1150,"(41.73537999, -122.5930468)"
2,3,,Siskiyou,L,49.871,,"YREKA, JCT. RTE. 263 NORTH",520,3700,2550,560,3900,3150,"(41.74023702, -122.6332508)"
2,3,,Siskiyou,L,50.159,,"YREKA, JCT. RTE. 5",560,3900,3150,370,3500,3150,"(41.73956414, -122.6279516)"
2,3,,Siskiyou,,53.22,,"MONTAGUE, GRENADA ROAD",190,2600,880,330,3300,1800,"(41.72457714, -122.5302096)"
2,3,,Siskiyou,,54.187,,"MONTAGUE, EAST CITY LIMITS",170,1300,1050,,,,"(41.72483983, -122.515582)"
2,3,,Trinity,,59.64,,TRINITY CENTER ST HWY MAINTENANCE STATION,90,800,500,90,800,500,"(40.9818176, -122.7104954)"
2,3,,Trinity,,67.894,,COFFEE CREEK RD,90,800,500,60,220,200,"(41.08625913, -122.7070256)"
2,3,,Trinity,R,79.501,,U. S. FOREST SERVICE ROAD,40,190,130,50,200,140,"(41.23413713, -122.6457176)"
2,3,,Trinity,T,85.068,,TRINITY/SISKIYOU COUNTY LINE,50,200,140,,,,"(41.27563451, -122.6976035)"
2,5,,Tehama,R,0,,GLENN/TEHAMA COUNTY LINE,,,,2650,29500,24100,"(39.79809376, -122.2007048)"
2,5,,Shasta,,0,,TEHAMA/SHASTA COUNTY LINE,,,,3900,44500,42000,"(40.37618301, -122.2845501)"
2,5,,Siskiyou,,0,,SHASTA/SISKIYOU COUNTY  LINE,,,,2200,22600,17200,"(41.1839819, -122.289166)"
2,5,,Siskiyou,,0.685,,SOUTH DUNSMUIR,2200,22600,17200,2200,21700,16300,"(41.19327399, -122.2845392)"
2,5,,Shasta,,0.909,,FOURTH STREET,3900,44500,42000,4100,47000,44000,"(40.38933656, -122.285073)"
2,5,,Shasta,,1.907,,NORTH COTTONWOOD,4100,47000,44000,4400,52000,49000,"(40.40323005, -122.2813289)"
2,5,,Siskiyou,,2.514,,CENTRAL DUNSMUIR,2150,21700,16300,2200,22800,17400,"(41.21772466, -122.274557)"
2,5,,Shasta,R,3.83,,JCT. RTE. 273 NORTH,4400,52000,49000,3650,43000,39500,"(40.43087285, -122.2843979)"
2,5,,Siskiyou,,3.841,,"DUNSMUIR, DUNSMUIR AVENUE",2200,22800,17400,2250,23400,18000,"(41.23538438, -122.2696918)"
2,5,,Shasta,R,4.289,,"ANDERSON, DESCHUTES ROAD",3650,43000,39500,4500,53000,48500,"(40.43750582, -122.2867336)"
2,5,,Shasta,R,5.294,,"ANDERSON, BALLS FERRY ROAD",4500,53000,48500,3750,44000,40000,"(40.4516498, -122.2912)"
2,5,,Shasta,R,5.64,,"ANDERSON, NORTH STREET",3750,44000,40000,4600,54000,48000,"(40.45572551, -122.2950327)"
2,5,,Tehama,R,5.769,,LIBERAL AVENUE,2650,29500,24100,2700,30000,25000,"(39.88163658, -122.1999612)"
2,5,,Siskiyou,,5.899,,MOTT AVENUE,2250,23400,18000,2300,23700,18400,"(41.25754652, -122.270614)"
2,5,,Shasta,R,6.743,,RIVERSIDE AVENUE,4600,54000,48000,4600,54000,48000,"(40.46850098, -122.3075354)"
2,5,,Tehama,R,7.486,,SOUTH AVENUE,2700,30000,25000,2850,31500,26500,"(39.90652354, -122.2000291)"
2,5,,Siskiyou,R,8.475,,JCT. RTE. 89,2300,23700,18400,2300,23800,18400,"(41.28506226, -122.3019245)"
2,5,,Tehama,R,8.975,,CORNING ROAD,2850,31500,26500,2950,33000,28500,"(39.92810587, -122.2000794)"
2,5,,Shasta,R,9.772,,KNIGHTON ROAD,4600,54000,48000,4750,57000,51000,"(40.50553599, -122.337811)"
2,5,,Siskiyou,R,10.485,,"MOUNT SHASTA, LAKE STREET",2300,23800,18400,2350,24300,19000,"(41.31015625, -122.3200095)"
2,5,,Tehama,R,10.969,,FINNELL AVENUE,2950,33000,28500,3000,33500,29000,"(39.95700707, -122.2000848)"
2,5,,Siskiyou,R,12.062,,NORTH MOUNT SHASTA,2350,24300,19000,2500,28000,22400,"(41.33110222, -122.3315335)"
2,5,,Shasta,R,12.152,,CHURN CREEK ROAD,4750,57000,51000,5100,64000,57000,"(40.53838957, -122.3508384)"
2,5,,Siskiyou,R,13.184,,ABRAMS LAKE ROAD,2500,28200,22400,2400,27200,21800,"(41.34490938, -122.343282)"
2,5,,Tehama,R,13.965,,GYLE ROAD,3000,33500,29000,2850,32000,27500,"(40.00016813, -122.2056884)"
2,5,,Shasta,R,14.459,,"REDDING, CYPRESS STREET",5100,64000,57000,5600,66000,62000,"(40.57103633, -122.3602446)"
2,5,,Siskiyou,R,15.339,,DEETZ ROAD,2400,26500,21400,2350,26500,21300,"(41.36824478, -122.3700757)"
2,5,,Shasta,R,15.448,,"REDDING, JCT. RTE. 44",5600,66000,62000,4800,58000,54000,"(40.5853566, -122.3604238)"
2,5,,Shasta,R,17.322,,"REDDING, JCT. RTE. 299",4800,58000,54000,3950,47000,42500,"(40.61234001, -122.3630616)"
2,5,,Siskiyou,R,17.441,,SOUTH WEED,2350,26500,21300,2250,25500,20400,"(41.39640205, -122.3797564)"
2,5,,Shasta,R,18.068,,"REDDING, TWINVIEW BOULEVARD",3950,47000,42500,3350,39000,34500,"(40.62284904, -122.3663776)"
2,5,,Shasta,R,18.481,,"REDDING, JCT. RTE. 273",3350,39000,34500,3900,46000,41500,"(40.62877315, -122.3682389)"
2,5,,Siskiyou,R,19.07,,JCT. RTE. 97 NORTH,2250,25500,20400,1650,18000,15000,"(41.41836485, -122.3833842)"
2,5,,Shasta,R,19.402,,"REDDING, OASIS ROAD",3900,46000,41500,3300,38500,33500,"(40.64155073, -122.3648266)"
2,5,,Tehama,R,19.781,,FLORES AVENUE,2850,32000,27500,2900,32500,28000,"(40.08398007, -122.2166455)"
2,5,,Siskiyou,R,19.856,,JCT. RTE. 265,1650,18000,15000,1750,19200,15900,"(41.42332809, -122.3963012)"
2,5,,Shasta,R,20.995,,PINE GROVE,3300,38500,33500,3000,34500,29000,"(40.66348997, -122.3554031)"
2,5,,Shasta,R,22.144,,JCT. RTE. 151 WEST,3000,34500,29000,2350,27000,21000,"(40.6792342, -122.3483727)"
2,5,,Siskiyou,R,22.999,,EDGEWOOD,1750,19200,15900,1650,18400,15200,"(41.4419336, -122.4349337)"
2,5,,Shasta,R,24.082,,MOUNTAIN GATE,2350,27000,21000,2250,25000,19500,"(40.70579165, -122.33706)"
2,5,,Tehama,R,24.871,,"RED BLUFF, SOUTH MAIN STREET",2900,32500,28000,3150,36000,31000,"(40.15734972, -122.2232865)"
2,5,,Tehama,R,24.942,,"RED BLUFF, DIAMOND AVENUE",3150,36000,31000,3400,39000,34000,"(40.15836153, -122.2231628)"
2,5,,Siskiyou,R,25.345,,WEED AIRPORT NB OFF,1650,18400,15200,1650,18700,15300,"(41.47275623, -122.4523766)"
2,5,,Shasta,R,26.035,,FAWNDALE,2250,25000,19500,2200,24500,19000,"(40.73090202, -122.320047)"
2,5,,Tehama,R,26.525,,"RED BLUFF, JCT. RTE. 36",3400,39000,34000,4550,43000,37500,"(40.18073593, -122.2249792)"
2,5,,Shasta,R,27.632,,BRIDGE BAY,2200,24500,19000,2200,23900,18300,"(40.75154533, -122.3200286)"
2,5,,Tehama,R,28.377,,NORTH RED BLUFF,4550,43000,37500,4250,43500,38500,"(40.20344778, -122.2437474)"
2,5,,Shasta,R,29.285,L,"TURNTABLE BAY UNDERCROSS, BEGIN LEFT ALIGN",,,,1100,11800,9000,"(40.7723319, -122.3123379)"
2,5,,Shasta,R,29.315,R,"TURNTABLE BAY ROAD, BEGIN RIGHT ALIGN",,,,1100,12000,9200,"(40.77282478, -122.3122891)"
2,5,,Tehama,,31.043,,WILCOX ROAD,4250,43500,38500,4350,42000,38000,"(40.2192637, -122.2514651)"
2,5,,Siskiyou,R,31.178,,LOUIE ROAD,1650,18700,15300,1650,18700,15300,"(41.55238925, -122.4850954)"
2,5,,Shasta,R,32.04,L,O'BRIEN,1100,11800,9100,1100,11500,8700,"(40.80519598, -122.3225285)"
2,5,,Shasta,R,32.159,R,O' BRIEN,1100,12000,9200,1050,11500,8800,"(40.80701322, -122.3221812)"
2,5,,Tehama,,32.236,,JELLYS FERRY ROAD,4350,42000,38000,3050,37500,37000,"(40.23604333, -122.2560926)"
2,5,,Shasta,R,34.355,L,END LEFT ALIGN,1100,11500,8700,,,,"(40.83945468, -122.327848)"
